jerseyid,orderid,jerseyname,jerseynumber,team,jerseytype,jerseyyear,jerseysize,jerseyprice,quantitysold,datesold
28,14,Lamar Jackson,8,Baltimore Ravens,Home,2019,L,139.99,1,2023-10-18
29,14,Christian McCaffrey,23,San Francisco 49ers,Home,2024,M,119.99,2,2023-10-18
30,15,Josh Allen,17,Buffalo Bills,Away,2025,S,149.99,1,2020-09-25
31,15,CeeDee Lamb,88,Dallas Cowboys,Away,2021,L,129.99,1,2020-09-25
32,16,Jalen Hurts,1,Philadelphia Eagles,Alternate,2021,S,119.99,3,2022-09-06
33,16,Lamar Jackson,8,Baltimore Ravens,Away,2024,L,149.99,3,2022-09-06
34,16,Amon-Ra St. Brown,14,Detroit Lions,Home,2022,XXL,129.99,2,2022-09-06
35,17,Lamar Jackson,8,Baltimore Ravens,Away,2022,L,129.99,1,2024-10-30
36,17,Lamar Jackson,8,Baltimore Ravens,Alternate,2022,M,139.99,2,2024-10-30
37,17,Amon-Ra St. Brown,14,Detroit Lions,Home,2021,L,129.99,2,2024-10-30
38,18,Josh Allen,17,Buffalo Bills,Home,2024,L,129.99,1,2022-08-12
39,18,Jalen Hurts,1,Philadelphia Eagles,Home,2019,M,149.99,3,2022-08-12
40,18,Josh Allen,17,Buffalo Bills,Away,2022,XXL,129.99,3,2022-08-12
41,19,Joe Burrow,9,Cincinnati Bengals,Home,2025,XL,139.99,2,2021-09-26
42,20,Joe Burrow,9,Cincinnati Bengals,Home,2024,L,129.99,2,2025-02-22
43,20,Christian McCaffrey,23,San Francisco 49ers,Away,2023,S,129.99,1,2025-02-22
44,20,CeeDee Lamb,88,Dallas Cowboys,Away,2024,M,129.99,1,2025-02-22
45,21,Patrick Mahomes,15,Kansas City Chiefs,Away,2021,XL,149.99,3,2025-01-31
46,21,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,XL,129.99,2,2025-01-31
47,21,Lamar Jackson,8,Baltimore Ravens,Away,2019,XL,139.99,3,2025-01-31
48,21,Lamar Jackson,8,Baltimore Ravens,Alternate,2020,XL,129.99,3,2025-01-31
49,22,Christian McCaffrey,23,San Francisco 49ers,Away,2021,XL,139.99,1,2025-08-21
50,22,Joe Burrow,9,Cincinnati Bengals,Home,2024,XXL,119.99,2,2025-08-21
51,22,CeeDee Lamb,88,Dallas Cowboys,Alternate,2019,S,119.99,1,2025-08-21
52,23,Jalen Hurts,1,Philadelphia Eagles,Away,2019,XXL,119.99,2,2020-09-16
53,24,Amon-Ra St. Brown,14,Detroit Lions,Away,2024,L,119.99,3,2021-03-23
54,24,Christian McCaffrey,23,San Francisco 49ers,Home,2025,XL,149.99,1,2021-03-23
55,24,Lamar Jackson,8,Baltimore Ravens,Away,2024,XL,129.99,2,2021-03-23
56,25,CeeDee Lamb,88,Dallas Cowboys,Away,2023,XXL,149.99,2,2022-01-11
57,25,Patrick Mahomes,15,Kansas City Chiefs,Away,2025,L,129.99,2,2022-01-11
58,25,CeeDee Lamb,88,Dallas Cowboys,Away,2025,L,139.99,2,2022-01-11
59,25,Jordan Love,10,Green Bay Packers,Alternate,2021,XXL,119.99,3,2022-01-11
60,26,DK Metcalf,14,Seattle Seahawks,Alternate,2023,L,149.99,3,2023-07-23
61,26,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,XXL,139.99,2,2023-07-23
62,27,Josh Allen,17,Buffalo Bills,Home,2021,M,139.99,1,2021-10-26
63,27,DK Metcalf,14,Seattle Seahawks,Home,2024,XXL,129.99,2,2021-10-26
64,27,Patrick Mahomes,15,Kansas City Chiefs,Home,2023,L,129.99,3,2021-10-26
65,28,Josh Allen,17,Buffalo Bills,Alternate,2024,S,129.99,1,2025-06-09
66,28,Jordan Love,10,Green Bay Packers,Away,2019,M,119.99,3,2025-06-09
67,28,Lamar Jackson,8,Baltimore Ravens,Alternate,2023,XXL,129.99,3,2025-06-09
68,28,Lamar Jackson,8,Baltimore Ravens,Away,2022,L,149.99,2,2025-06-09
69,29,DK Metcalf,14,Seattle Seahawks,Home,2020,L,139.99,3,2025-11-02
70,29,Joe Burrow,9,Cincinnati Bengals,Home,2024,M,139.99,3,2025-11-02
71,29,Jordan Love,10,Green Bay Packers,Alternate,2025,M,149.99,1,2025-11-02
72,29,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,M,139.99,1,2025-11-02
73,30,Josh Allen,17,Buffalo Bills,Alternate,2019,XL,139.99,3,2022-06-13
74,30,DK Metcalf,14,Seattle Seahawks,Home,2019,M,119.99,3,2022-06-13
75,30,DK Metcalf,14,Seattle Seahawks,Alternate,2019,M,149.99,3,2022-06-13
76,30,Joe Burrow,9,Cincinnati Bengals,Away,2020,XXL,149.99,3,2022-06-13
77,31,Joe Burrow,9,Cincinnati Bengals,Home,2021,L,139.99,1,2022-11-26
78,32,DK Metcalf,14,Seattle Seahawks,Away,2024,XL,119.99,1,2025-01-31
79,32,Jordan Love,10,Green Bay Packers,Home,2024,M,139.99,3,2025-01-31
80,33,Joe Burrow,9,Cincinnati Bengals,Home,2022,XXL,129.99,2,2020-01-17
81,33,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,M,119.99,2,2020-01-17
82,33,Lamar Jackson,8,Baltimore Ravens,Away,2025,XXL,139.99,1,2020-01-17
83,33,DK Metcalf,14,Seattle Seahawks,Alternate,2021,XXL,149.99,1,2020-01-17
84,34,Patrick Mahomes,15,Kansas City Chiefs,Away,2024,XL,149.99,2,2022-11-14
85,34,Jalen Hurts,1,Philadelphia Eagles,Away,2019,M,139.99,1,2022-11-14
86,34,Joe Burrow,9,Cincinnati Bengals,Home,2023,XL,119.99,3,2022-11-14
87,34,Jalen Hurts,1,Philadelphia Eagles,Away,2025,M,119.99,2,2022-11-14
88,35,CeeDee Lamb,88,Dallas Cowboys,Alternate,2024,L,129.99,3,2023-06-17
89,36,Jordan Love,10,Green Bay Packers,Alternate,2025,M,129.99,1,2020-02-16
90,36,Josh Allen,17,Buffalo Bills,Alternate,2025,XL,129.99,2,2020-02-16
91,36,Jordan Love,10,Green Bay Packers,Home,2020,XL,139.99,2,2020-02-16
92,36,DK Metcalf,14,Seattle Seahawks,Alternate,2019,XL,139.99,3,2020-02-16
93,37,CeeDee Lamb,88,Dallas Cowboys,Away,2023,L,139.99,3,2023-12-15
94,38,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,XXL,139.99,3,2023-06-10
95,38,Jalen Hurts,1,Philadelphia Eagles,Alternate,2019,S,139.99,2,2023-06-10
96,38,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,M,119.99,2,2023-06-10
97,39,Josh Allen,17,Buffalo Bills,Away,2019,M,129.99,3,2021-04-02
98,39,Lamar Jackson,8,Baltimore Ravens,Alternate,2021,S,149.99,1,2021-04-02
99,39,DK Metcalf,14,Seattle Seahawks,Alternate,2019,XL,139.99,3,2021-04-02
100,40,Lamar Jackson,8,Baltimore Ravens,Home,2020,S,119.99,2,2023-03-02
101,40,Joe Burrow,9,Cincinnati Bengals,Home,2019,M,129.99,2,2023-03-02
102,40,Joe Burrow,9,Cincinnati Bengals,Away,2024,XXL,149.99,3,2023-03-02
103,41,Christian McCaffrey,23,San Francisco 49ers,Alternate,2024,L,119.99,2,2020-02-10
104,42,Jordan Love,10,Green Bay Packers,Home,2025,M,139.99,1,2024-02-06
105,42,Jordan Love,10,Green Bay Packers,Home,2021,M,129.99,3,2024-02-06
106,43,Josh Allen,17,Buffalo Bills,Away,2022,L,119.99,2,2019-04-16
107,44,Josh Allen,17,Buffalo Bills,Home,2021,XXL,129.99,1,2019-06-27
108,44,Jalen Hurts,1,Philadelphia Eagles,Away,2023,XXL,139.99,2,2019-06-27
109,44,Jordan Love,10,Green Bay Packers,Alternate,2021,XL,149.99,1,2019-06-27
110,44,Josh Allen,17,Buffalo Bills,Alternate,2024,XXL,129.99,2,2019-06-27
111,45,Josh Allen,17,Buffalo Bills,Home,2022,S,139.99,1,2022-10-20
112,46,Christian McCaffrey,23,San Francisco 49ers,Home,2023,XXL,129.99,1,2025-04-19
113,46,Joe Burrow,9,Cincinnati Bengals,Home,2025,S,139.99,3,2025-04-19
114,46,Christian McCaffrey,23,San Francisco 49ers,Home,2025,L,129.99,2,2025-04-19
115,47,Josh Allen,17,Buffalo Bills,Home,2024,S,119.99,3,2025-03-30
116,47,Amon-Ra St. Brown,14,Detroit Lions,Home,2022,XL,149.99,2,2025-03-30
117,47,Jalen Hurts,1,Philadelphia Eagles,Away,2021,L,119.99,1,2025-03-30
118,47,Jalen Hurts,1,Philadelphia Eagles,Home,2025,XXL,119.99,3,2025-03-30
119,48,Patrick Mahomes,15,Kansas City Chiefs,Home,2022,XXL,119.99,1,2023-10-03
120,48,CeeDee Lamb,88,Dallas Cowboys,Away,2020,M,139.99,2,2023-10-03
121,48,Christian McCaffrey,23,San Francisco 49ers,Home,2019,XL,149.99,1,2023-10-03
122,49,Jordan Love,10,Green Bay Packers,Away,2024,XL,139.99,1,2021-07-31
123,49,Lamar Jackson,8,Baltimore Ravens,Home,2021,M,149.99,3,2021-07-31
124,49,Christian McCaffrey,23,San Francisco 49ers,Home,2022,S,129.99,2,2021-07-31
125,49,Jordan Love,10,Green Bay Packers,Away,2023,S,149.99,2,2021-07-31
126,50,Jalen Hurts,1,Philadelphia Eagles,Away,2020,M,129.99,3,2020-11-19
127,51,Josh Allen,17,Buffalo Bills,Away,2022,L,139.99,3,2024-07-16
128,51,Patrick Mahomes,15,Kansas City Chiefs,Away,2023,S,139.99,2,2024-07-16
129,51,Joe Burrow,9,Cincinnati Bengals,Home,2019,L,139.99,1,2024-07-16
130,51,Josh Allen,17,Buffalo Bills,Alternate,2023,XXL,149.99,2,2024-07-16
131,52,Patrick Mahomes,15,Kansas City Chiefs,Home,2024,XL,149.99,3,2019-06-18
132,52,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,L,139.99,2,2019-06-18
133,53,Josh Allen,17,Buffalo Bills,Alternate,2024,M,139.99,2,2025-09-14
134,53,Lamar Jackson,8,Baltimore Ravens,Home,2023,S,139.99,3,2025-09-14
135,53,Lamar Jackson,8,Baltimore Ravens,Alternate,2025,L,129.99,3,2025-09-14
136,54,Josh Allen,17,Buffalo Bills,Away,2025,S,119.99,3,2023-10-01
137,54,Christian McCaffrey,23,San Francisco 49ers,Alternate,2020,XXL,149.99,1,2023-10-01
138,55,DK Metcalf,14,Seattle Seahawks,Away,2025,M,139.99,3,2020-11-09
139,55,Jordan Love,10,Green Bay Packers,Away,2022,L,149.99,3,2020-11-09
140,56,Josh Allen,17,Buffalo Bills,Home,2021,XL,129.99,2,2021-03-28
141,56,Josh Allen,17,Buffalo Bills,Home,2025,XL,139.99,1,2021-03-28
142,56,Lamar Jackson,8,Baltimore Ravens,Home,2022,XXL,139.99,1,2021-03-28
143,57,Joe Burrow,9,Cincinnati Bengals,Alternate,2019,S,119.99,2,2021-07-08
144,57,CeeDee Lamb,88,Dallas Cowboys,Home,2023,XXL,149.99,1,2021-07-08
145,57,DK Metcalf,14,Seattle Seahawks,Home,2021,S,119.99,1,2021-07-08
146,57,Lamar Jackson,8,Baltimore Ravens,Alternate,2025,XXL,149.99,1,2021-07-08
147,58,Amon-Ra St. Brown,14,Detroit Lions,Away,2019,XXL,119.99,2,2025-01-04
148,59,Patrick Mahomes,15,Kansas City Chiefs,Away,2023,L,129.99,3,2023-05-04
149,59,Joe Burrow,9,Cincinnati Bengals,Alternate,2022,M,129.99,1,2023-05-04
150,60,Christian McCaffrey,23,San Francisco 49ers,Home,2025,L,139.99,1,2021-04-05
151,60,Christian McCaffrey,23,San Francisco 49ers,Away,2022,XL,149.99,2,2021-04-05
152,60,Jalen Hurts,1,Philadelphia Eagles,Away,2024,XL,139.99,3,2021-04-05
153,61,Jordan Love,10,Green Bay Packers,Alternate,2022,M,149.99,2,2023-10-05
154,61,Joe Burrow,9,Cincinnati Bengals,Home,2024,L,149.99,2,2023-10-05
155,61,Patrick Mahomes,15,Kansas City Chiefs,Home,2024,XL,139.99,3,2023-10-05
156,61,Jalen Hurts,1,Philadelphia Eagles,Home,2020,XXL,149.99,1,2023-10-05
157,62,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,L,139.99,1,2023-02-09
158,62,Josh Allen,17,Buffalo Bills,Home,2024,M,149.99,3,2023-02-09
159,63,Joe Burrow,9,Cincinnati Bengals,Home,2025,L,139.99,3,2021-12-08
160,63,Josh Allen,17,Buffalo Bills,Alternate,2023,L,139.99,1,2021-12-08
161,64,Josh Allen,17,Buffalo Bills,Away,2022,XL,149.99,2,2021-07-07
162,65,Amon-Ra St. Brown,14,Detroit Lions,Home,2025,S,129.99,2,2022-07-22
163,65,Jalen Hurts,1,Philadelphia Eagles,Home,2021,M,139.99,3,2022-07-22
164,65,DK Metcalf,14,Seattle Seahawks,Home,2021,M,139.99,1,2022-07-22
165,65,DK Metcalf,14,Seattle Seahawks,Alternate,2023,S,129.99,3,2022-07-22
166,66,Jordan Love,10,Green Bay Packers,Alternate,2019,XL,139.99,3,2025-10-14
167,66,DK Metcalf,14,Seattle Seahawks,Away,2020,XL,139.99,2,2025-10-14
168,66,Josh Allen,17,Buffalo Bills,Alternate,2019,M,149.99,2,2025-10-14
169,66,Joe Burrow,9,Cincinnati Bengals,Away,2020,L,129.99,2,2025-10-14
170,67,Jordan Love,10,Green Bay Packers,Away,2020,M,139.99,3,2020-06-19
171,67,Christian McCaffrey,23,San Francisco 49ers,Home,2025,M,149.99,3,2020-06-19
172,67,Joe Burrow,9,Cincinnati Bengals,Away,2021,XL,119.99,1,2020-06-19
173,67,Lamar Jackson,8,Baltimore Ravens,Alternate,2022,M,129.99,3,2020-06-19
174,68,Patrick Mahomes,15,Kansas City Chiefs,Away,2019,XXL,129.99,2,2022-02-26
175,68,Amon-Ra St. Brown,14,Detroit Lions,Away,2019,XL,149.99,3,2022-02-26
176,68,DK Metcalf,14,Seattle Seahawks,Alternate,2024,XXL,119.99,1,2022-02-26
177,69,Jalen Hurts,1,Philadelphia Eagles,Alternate,2023,M,139.99,3,2022-10-20
178,69,Christian McCaffrey,23,San Francisco 49ers,Home,2022,XXL,139.99,3,2022-10-20
179,69,Christian McCaffrey,23,San Francisco 49ers,Alternate,2025,XXL,149.99,3,2022-10-20
180,69,Jordan Love,10,Green Bay Packers,Away,2022,S,139.99,2,2022-10-20
181,70,Jalen Hurts,1,Philadelphia Eagles,Alternate,2024,XXL,149.99,1,2022-06-14
182,70,CeeDee Lamb,88,Dallas Cowboys,Home,2023,S,129.99,1,2022-06-14
183,70,Joe Burrow,9,Cincinnati Bengals,Away,2022,M,149.99,3,2022-06-14
184,70,CeeDee Lamb,88,Dallas Cowboys,Away,2023,XXL,149.99,3,2022-06-14
185,71,CeeDee Lamb,88,Dallas Cowboys,Home,2021,XXL,139.99,1,2021-04-29
186,71,DK Metcalf,14,Seattle Seahawks,Away,2024,M,149.99,2,2021-04-29
187,71,Joe Burrow,9,Cincinnati Bengals,Away,2023,L,139.99,1,2021-04-29
188,71,Jordan Love,10,Green Bay Packers,Alternate,2023,XL,149.99,2,2021-04-29
189,72,Josh Allen,17,Buffalo Bills,Alternate,2024,XXL,129.99,1,2022-03-24
190,72,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2023,M,129.99,1,2022-03-24
191,73,DK Metcalf,14,Seattle Seahawks,Away,2021,S,119.99,3,2024-04-18
192,73,Jordan Love,10,Green Bay Packers,Home,2023,S,129.99,2,2024-04-18
193,74,Jalen Hurts,1,Philadelphia Eagles,Alternate,2022,L,129.99,1,2024-07-22
194,74,Christian McCaffrey,23,San Francisco 49ers,Home,2024,XL,139.99,3,2024-07-22
195,74,Jalen Hurts,1,Philadelphia Eagles,Home,2024,L,139.99,3,2024-07-22
196,74,CeeDee Lamb,88,Dallas Cowboys,Home,2023,XL,149.99,3,2024-07-22
197,75,DK Metcalf,14,Seattle Seahawks,Alternate,2021,M,119.99,3,2020-01-26
198,76,Joe Burrow,9,Cincinnati Bengals,Alternate,2023,L,149.99,3,2020-10-16
199,76,Amon-Ra St. Brown,14,Detroit Lions,Away,2025,XXL,129.99,1,2020-10-16
200,77,Christian McCaffrey,23,San Francisco 49ers,Alternate,2022,S,129.99,3,2024-01-04
201,77,Jordan Love,10,Green Bay Packers,Away,2019,XXL,149.99,1,2024-01-04
202,78,Patrick Mahomes,15,Kansas City Chiefs,Away,2021,S,119.99,1,2023-08-29
203,79,Christian McCaffrey,23,San Francisco 49ers,Home,2020,XXL,149.99,3,2023-08-02
204,79,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,S,119.99,2,2023-08-02
205,80,CeeDee Lamb,88,Dallas Cowboys,Home,2019,S,119.99,2,2024-12-18
206,81,Jordan Love,10,Green Bay Packers,Alternate,2025,L,129.99,2,2019-07-01
207,81,Jalen Hurts,1,Philadelphia Eagles,Alternate,2023,M,149.99,2,2019-07-01
208,81,DK Metcalf,14,Seattle Seahawks,Home,2023,XXL,129.99,3,2019-07-01
209,82,DK Metcalf,14,Seattle Seahawks,Alternate,2020,XL,119.99,3,2019-07-12
210,82,Lamar Jackson,8,Baltimore Ravens,Away,2023,XXL,129.99,2,2019-07-12
211,83,CeeDee Lamb,88,Dallas Cowboys,Alternate,2024,XXL,129.99,2,2022-09-14
212,84,DK Metcalf,14,Seattle Seahawks,Away,2022,XXL,139.99,2,2019-03-04
213,84,DK Metcalf,14,Seattle Seahawks,Away,2023,XL,149.99,1,2019-03-04
214,84,Joe Burrow,9,Cincinnati Bengals,Away,2020,L,139.99,2,2019-03-04
215,85,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,L,139.99,2,2020-08-20
216,85,Joe Burrow,9,Cincinnati Bengals,Away,2020,L,129.99,1,2020-08-20
217,86,Jalen Hurts,1,Philadelphia Eagles,Home,2020,XXL,149.99,2,2025-01-29
218,87,Jalen Hurts,1,Philadelphia Eagles,Home,2019,XXL,129.99,1,2025-11-30
219,87,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,L,139.99,2,2025-11-30
220,87,Lamar Jackson,8,Baltimore Ravens,Home,2021,XL,149.99,3,2025-11-30
221,87,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,L,119.99,3,2025-11-30
222,88,Amon-Ra St. Brown,14,Detroit Lions,Home,2020,M,149.99,2,2023-04-03
223,89,Jalen Hurts,1,Philadelphia Eagles,Alternate,2020,XXL,149.99,3,2022-02-22
224,89,Amon-Ra St. Brown,14,Detroit Lions,Away,2022,M,119.99,3,2022-02-22
225,89,Christian McCaffrey,23,San Francisco 49ers,Home,2019,XL,129.99,1,2022-02-22
226,90,Jordan Love,10,Green Bay Packers,Alternate,2022,S,139.99,1,2025-11-19
227,90,Josh Allen,17,Buffalo Bills,Home,2021,M,149.99,3,2025-11-19
228,91,Josh Allen,17,Buffalo Bills,Home,2019,L,119.99,3,2023-01-17
229,91,Jordan Love,10,Green Bay Packers,Away,2025,XL,119.99,2,2023-01-17
230,91,Lamar Jackson,8,Baltimore Ravens,Away,2025,S,129.99,3,2023-01-17
231,91,Amon-Ra St. Brown,14,Detroit Lions,Home,2024,XL,129.99,1,2023-01-17
232,92,Joe Burrow,9,Cincinnati Bengals,Home,2020,L,119.99,2,2024-07-12
233,92,Christian McCaffrey,23,San Francisco 49ers,Alternate,2022,L,149.99,2,2024-07-12
234,93,Christian McCaffrey,23,San Francisco 49ers,Away,2021,XL,139.99,1,2022-05-15
235,93,Jordan Love,10,Green Bay Packers,Home,2023,XXL,129.99,3,2022-05-15
236,94,DK Metcalf,14,Seattle Seahawks,Alternate,2020,XL,149.99,1,2024-03-05
237,94,Joe Burrow,9,Cincinnati Bengals,Alternate,2022,XXL,149.99,3,2024-03-05
238,95,Christian McCaffrey,23,San Francisco 49ers,Away,2019,S,119.99,2,2019-05-31
239,95,CeeDee Lamb,88,Dallas Cowboys,Alternate,2024,XXL,129.99,2,2019-05-31
240,95,Christian McCaffrey,23,San Francisco 49ers,Away,2022,XXL,129.99,2,2019-05-31
241,95,Patrick Mahomes,15,Kansas City Chiefs,Away,2019,L,149.99,1,2019-05-31
242,96,Josh Allen,17,Buffalo Bills,Home,2025,L,119.99,3,2022-07-01
243,97,Jordan Love,10,Green Bay Packers,Home,2022,XXL,149.99,2,2020-12-15
244,98,Jordan Love,10,Green Bay Packers,Away,2023,XL,119.99,2,2022-02-14
245,98,Christian McCaffrey,23,San Francisco 49ers,Away,2023,M,139.99,3,2022-02-14
246,98,Jordan Love,10,Green Bay Packers,Home,2024,M,139.99,1,2022-02-14
247,99,Joe Burrow,9,Cincinnati Bengals,Away,2020,M,139.99,2,2021-01-19
248,99,Jordan Love,10,Green Bay Packers,Home,2025,L,119.99,2,2021-01-19
249,100,Patrick Mahomes,15,Kansas City Chiefs,Away,2020,XXL,139.99,1,2025-04-19
250,100,Joe Burrow,9,Cincinnati Bengals,Alternate,2024,XL,119.99,3,2025-04-19
251,100,Josh Allen,17,Buffalo Bills,Away,2025,XXL,139.99,3,2025-04-19
252,101,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,L,149.99,1,2021-06-14
253,101,Jordan Love,10,Green Bay Packers,Home,2025,M,129.99,1,2021-06-14
254,102,Patrick Mahomes,15,Kansas City Chiefs,Away,2025,M,129.99,1,2022-02-25
255,102,Jalen Hurts,1,Philadelphia Eagles,Alternate,2021,M,149.99,2,2022-02-25
256,102,Jalen Hurts,1,Philadelphia Eagles,Alternate,2024,L,149.99,2,2022-02-25
257,102,Joe Burrow,9,Cincinnati Bengals,Home,2024,S,149.99,3,2022-02-25
258,103,CeeDee Lamb,88,Dallas Cowboys,Away,2025,M,149.99,2,2024-06-22
259,103,Christian McCaffrey,23,San Francisco 49ers,Away,2021,XXL,129.99,3,2024-06-22
260,103,Joe Burrow,9,Cincinnati Bengals,Away,2024,S,119.99,1,2024-06-22
261,103,Joe Burrow,9,Cincinnati Bengals,Home,2019,M,149.99,2,2024-06-22
262,104,CeeDee Lamb,88,Dallas Cowboys,Away,2024,S,119.99,1,2020-06-24
263,104,CeeDee Lamb,88,Dallas Cowboys,Away,2019,M,129.99,3,2020-06-24
264,104,Joe Burrow,9,Cincinnati Bengals,Home,2019,L,119.99,2,2020-06-24
265,105,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2019,XXL,129.99,2,2021-07-26
266,106,Christian McCaffrey,23,San Francisco 49ers,Home,2020,L,119.99,1,2020-09-12
267,106,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2023,XXL,139.99,3,2020-09-12
268,106,Patrick Mahomes,15,Kansas City Chiefs,Alternate,2021,M,129.99,3,2020-09-12
269,106,Lamar Jackson,8,Baltimore Ravens,Away,2024,S,129.99,2,2020-09-12
270,107,Amon-Ra St. Brown,14,Detroit Lions,Alternate,2020,XL,119.99,1,2024-08-08
271,107,Jordan Love,10,Green Bay Packers,Home,2019,L,129.99,1,2024-08-08
272,107,Patrick Mahomes,15,Kansas City Chiefs,Away,2023,L,149.99,2,2024-08-08
273,108,Jordan Love,10,Green Bay Packers,Alternate,2025,S,139.99,3,2025-01-06
274,108,Lamar Jackson,8,Baltimore Ravens,Alternate,2025,M,119.99,1,2025-01-06
275,108,Josh Allen,17,Buffalo Bills,Away,2019,XL,119.99,2,2025-01-06
276,108,Jalen Hurts,1,Philadelphia Eagles,Home,2019,M,119.99,1,2025-01-06
277,109,DK Metcalf,14,Seattle Seahawks,Alternate,2019,L,119.99,2,2024-10-19
278,109,Joe Burrow,9,Cincinnati Bengals,Alternate,2021,S,149.99,3,2024-10-19
279,109,Jalen Hurts,1,Philadelphia Eagles,Away,2020,L,119.99,3,2024-10-19
280,109,Josh Allen,17,Buffalo Bills,Home,2024,XXL,119.99,1,2024-10-19
281,110,CeeDee Lamb,88,Dallas Cowboys,Away,2024,L,139.99,1,2024-04-16
282,110,Jordan Love,10,Green Bay Packers,Away,2019,XXL,119.99,1,2024-04-16
283,110,CeeDee Lamb,88,Dallas Cowboys,Alternate,2019,XL,119.99,2,2024-04-16
284,111,CeeDee Lamb,88,Dallas Cowboys,Alternate,2023,M,129.99,1,2019-12-20
285,111,Lamar Jackson,8,Baltimore Ravens,Home,2020,XXL,139.99,3,2019-12-20
286,111,Patrick Mahomes,15,Kansas City Chiefs,Away,2019,XL,139.99,1,2019-12-20
287,111,CeeDee Lamb,88,Dallas Cowboys,Alternate,2020,XL,149.99,1,2019-12-20
288,112,Jordan Love,10,Green Bay Packers,Alternate,2019,XL,129.99,1,2019-06-29
289,113,Joe Burrow,9,Cincinnati Bengals,Away,2021,XL,119.99,3,2023-05-29
290,113,Christian McCaffrey,23,San Francisco 49ers,Home,2022,L,149.99,2,2023-05-29
291,114,DK Metcalf,14,Seattle Seahawks,Home,2019,XL,149.99,3,2022-05-31
292,114,Amon-Ra St. Brown,14,Detroit Lions,Home,2019,XL,119.99,1,2022-05-31
293,114,Josh Allen,17,Buffalo Bills,Home,2019,M,129.99,1,2022-05-31
294,115,Josh Allen,17,Buffalo Bills,Home,2022,S,129.99,3,2019-12-11
